Posted,Title,Price,Deets,Address,URL
May 11,"On-Site Maintenance, On-Site Management, Off Street Parking",$1299,"
                    1br -
                    685ft",,https://philadelphia.craigslist.org/apa/d/norristown-on-site-maintenance-on-site/6886556167.html
May 11,"Large Kitchen, Excellent view, Brand New!",$2160,"
                    1br -
                    658ft",,https://philadelphia.craigslist.org/apa/d/philadelphia-large-kitchen-excellent/6878440896.html
May 11,"Comcast available, Postal Services, On-Site Maintenance",$1180,"
                    1br -
                    910ft",Minutes away from Parx Casino,https://philadelphia.craigslist.org/apa/d/levittown-comcast-available-postal/6886555150.html
May 11,"1 Bed 1Bath-Bike Share Program, Home Buyer Program",$1327,"
                    1br -
                    670ft",,https://philadelphia.craigslist.org/apa/d/west-chester-1-bed-1bath-bike-share/6878468385.html
May 11,"2 Bed 1 Bath - Oversized Closets, High Speed Internet",$1155,"
                    2br -
                    810ft",,https://philadelphia.craigslist.org/apa/d/abington-2-bed-1-bath-oversized-closets/6884487194.html
May 11,Exceptional 3 bedroom Single for Rent,$1500,"
                    3br -
                ",Radnor Twp,https://philadelphia.craigslist.org/apa/d/villanova-exceptional-3-bedroom-single/6886482797.html
May 11,Large 1 & 2 Bedroom Garden Style Apartments,$950,"
                    2br -
                ",Mt. Airy / Chestnut Hill,https://philadelphia.craigslist.org/apa/d/philadelphia-large-1-2-bedroom-garden/6879567539.html
May 11,Look No Further For Convenience! 1B!,$1245,"
                    1br -
                    727ft",Fairless Hills,https://philadelphia.craigslist.org/apa/d/fairless-hills-look-no-further-for/6886553546.html
May 11,"Cable/Satellite TV, Billiards/Poker Room, Extra Storage",$1456,"
                    1br -
                    686ft",,https://philadelphia.craigslist.org/apa/d/conshohocken-cable-satellite-tv/6867927661.html
May 11,Updated wondrous Bristol home,$800,"
                    2br -
                ",Bristol,https://philadelphia.craigslist.org/apa/d/levittown-updated-wondrous-bristol-home/6886467022.html
May 11,"Unique Layout, Upgraded Cabinets- Call today!!!",$1330,"
                    1br -
                ",94 Mary Fran Drive,https://philadelphia.craigslist.org/apa/d/westtown-unique-layout-upgraded/6867068953.html
May 11,ONLY 1 SUITE LEFT! Epic 4 bed 4 bath house w/ROOFDECK & MORE!,$1000,"
                    4br -
                ",114 Pollard St>Northern Liberties>Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-only-1-suite-left-epic-4/6886552644.html
May 11,"Enjoy hardwood floors, high ceilings, large windows, great natural lig",$2245,"
                    2br -
                    1000ft",Washington Sq West Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-enjoy-hardwood-floors-high/6886523662.html
May 11,Stunning one bedroom on Rittenhouse Square on the 14th floor at The Sa,$1800,"
                    1br -
                    515ft",Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-stunning-one-bedroom-on/6886525297.html
